Element,Line,Type,Energy
Sb,La1,Escape Peak (Si),1.9038
Y,La2,Emission Line,1.9223
Y,La1,Emission Line,1.9242
Sr,Lb4,Emission Line,1.9357
Sr,Lb3,Emission Line,1.946
P,Ka3,Emission Line,1.9565
Sn,Lb1,Escape Peak (Si),1.9628
Ca,Ka2,Escape Peak (Si),1.9888
Ca,Ka1,Escape Peak (Si),1.9923
Y,Lb1,Emission Line,1.9983
Sn,Lb4,Escape Peak (Si),2.0085
P,Ka2,Emission Line,2.0095
P,Ka1,Emission Line,2.0105
Na,Ka3,Sum Peak (2x),2.0146
Zn,La2,Sum Peak (2x),2.0232
Zn,La1,Sum Peak (2x),2.0234
Cu,Lb4,Sum Peak (2x),2.0388
Zr,La2,Emission Line,2.0419
Cu,Lb3,Sum Peak (2x),2.0432
Zr,La1,Emission Line,2.0442
Sn,Lb3,Escape Peak (Si),2.0504
Te,La2,Escape Peak (Si),2.0576
Y,Lb4,Emission Line,2.0624
Te,La1,Escape Peak (Si),2.068
Zn,Lb1,Sum Peak (2x),2.0694
Y,Lb3,Emission Line,2.0742
Na,Ka1,Sum Peak (2x),2.0806
Na,Ka2,Sum Peak (2x),2.0808
Zr,Lb1,Emission Line,2.1259
P,Kb3,Emission Line,2.1385
P,Kb1,Emission Line,2.1395
Sb,Lb1,Escape Peak (Si),2.1425
Nb,La2,Emission Line,2.166
Nb,La1,Emission Line,2.1687
Sb,Lb4,Escape Peak (Si),2.1853
Zr,Lb4,Emission Line,2.1885
Ga,La1,Sum Peak (2x),2.1954
Ga,La2,Sum Peak (2x),2.1954
Zr,Lb3,Emission Line,2.2022
Zn,Lb4,Sum Peak (2x),2.2096
Zn,Lb3,Sum Peak (2x),2.2152
I,La2,Escape Peak (Si),2.2262
Sb,Lb3,Escape Peak (Si),2.2316
I,La1,Escape Peak (Si),2.2377
S,Ka3,Emission Line,2.2411
Ga,Lb1,Sum Peak (2x),2.249
Nb,Lb1,Emission Line,2.26
Mo,La2,Emission Line,2.2889
Mo,La1,Emission Line,2.2921
Sc,Ka3,Escape Peak (Si),2.294
S,Ka2,Emission Line,2.3084
S,Ka1,Emission Line,2.3095
Ca,Kb3,Escape Peak (Si),2.3131
Ca,Kb1,Escape Peak (Si),2.3131
Nb,Lb4,Emission Line,2.3219
Te,Lb1,Escape Peak (Si),2.3286
Nb,Lb3,Emission Line,2.3374
Te,Lb4,Escape Peak (Si),2.3682
Ge,La2,Sum Peak (2x),2.3744
Ge,La1,Sum Peak (2x),2.3756
Sc,Ka2,Escape Peak (Si),2.3884
Ga,Lb4,Sum Peak (2x),2.391
Sc,Ka1,Escape Peak (Si),2.3933
Mo,Lb1,Emission Line,2.3939
Xe,La2,Escape Peak (Si),2.397
Ga,Lb3,Sum Peak (2x),2.398
Xe,La1,Escape Peak (Si),2.4096
Te,Lb3,Escape Peak (Si),2.4182
Tc,La2,Emission Line,2.4194
Tc,La1,Emission Line,2.4231
Mg,Ka3,Sum Peak (2x),2.4288
Ge,Lb1,Sum Peak (2x),2.4366
Mo,Lb4,Emission Line,2.4544
S,Kb3,Emission Line,2.464
S,Kb1,Emission Line,2.465
Mo,Lb3,Emission Line,2.472
Mg,Ka2,Sum Peak (2x),2.5068
Mg,Ka1,Sum Peak (2x),2.50758
I,Lb1,Escape Peak (Si),2.5212
Tc,Lb1,Emission Line,2.5354
Cl,Ka3,Emission Line,2.552
Ru,La2,Emission Line,2.5538
I,Lb4,Escape Peak (Si),2.557
Ru,La1,Emission Line,2.558
As,La2,Sum Peak (2x),2.5638
As,La1,Sum Peak (2x),2.5638
Cs,La2,Escape Peak (Si),2.5715
Ge,Lb4,Sum Peak (2x),2.5794
Cs,La1,Escape Peak (Si),2.5854
Ge,Lb3,Sum Peak (2x),2.5876
Tc,Lb4,Emission Line,2.5954
Mg,Kb3,Sum Peak (2x),2.604
Mg,Kb1,Sum Peak (2x),2.604
I,Lb3,Escape Peak (Si),2.613
Cl,Ka2,Emission Line,2.62
Cl,Ka1,Emission Line,2.622
Tc,Lb3,Emission Line,2.6253
As,Lb1,Sum Peak (2x),2.6348
Ru,Lb1,Emission Line,2.6828
Rh,La2,Emission Line,2.6921
Rh,La1,Emission Line,2.6968
Ti,Ka3,Escape Peak (Si),2.7051
Xe,Lb1,Escape Peak (Si),2.718
Ru,Lb4,Emission Line,2.7407
Xe,Lb4,Escape Peak (Si),2.7509
Ba,La2,Escape Peak (Si),2.7513
Se,La2,Sum Peak (2x),2.7568
Se,La1,Sum Peak (2x),2.7586
As,Lb4,Sum Peak (2x),2.7616
Ru,Lb3,Emission Line,2.7625
Sc,Kb1,Escape Peak (Si),2.7637
Sc,Kb3,Escape Peak (Si),2.7637
Ba,La1,Escape Peak (Si),2.7665
As,Lb3,Sum Peak (2x),2.7716
Ti,Ka2,Escape Peak (Si),2.8058
Cl,Kb3,Emission Line,2.812
Cl,Kb1,Emission Line,2.812
Ti,Ka1,Escape Peak (Si),2.8122
Xe,Lb3,Escape Peak (Si),2.8124
Pd,La2,Emission Line,2.8325
Rh,Lb1,Emission Line,2.8341
Se,Lb1,Sum Peak (2x),2.8376
Pd,La1,Emission Line,2.8378
Ar,Ka3,Emission Line,2.8796
Al,Ka3,Sum Peak (2x),2.8824
Rh,Lb4,Emission Line,2.8907
Rh,Lb3,Emission Line,2.9155
